<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
GTN,20141117,11.9721,12.4196,11.7483,12.4196,3521010
GTN,20141118,13.2588,13.2588,13.2028,13.2587,1896980
GTN,20141119,13.2587,14.0419,13.2587,13.4266,1437290
GTN,20141120,13.2588,13.7063,13.1469,13.5385,1441900
GTN,20141121,13.7063,13.7063,12.6434,12.6434,2300380
GTN,20141124,11.8042,11.8042,11.8042,11.8042,116960
GTN,20141125,11.0210,11.0769,11.0210,11.0210,1234160
GTN,20141126,10.2937,10.5734,10.2937,10.2937,2167660
GTN,20141127,9.6224,10.3497,9.6224,10.3497,2934160
GTN,20141128,9.9021,11.0210,9.9021,11.0210,1481810
GTN,20141201,10.9091,11.1329,10.4616,10.5175,942040
GTN,20141202,10.0140,10.1818,9.7902,10.1259,905120
GTN,20141203,9.9581,10.2937,9.9581,10.2378,535310
GTN,20141204,10.2378,10.4056,10.0140,10.0699,297740
GTN,20141205,9.9580,10.1818,9.8461,9.9021,653630
GTN,20141208,9.8462,10.0140,9.2308,9.2308,925840
GTN,20141209,8.7832,9.1189,8.6154,8.6154,618570
GTN,20141210,8.0560,8.3916,8.0560,8.2238,4639510
GTN,20141211,8.2238,8.5035,7.8322,8.3357,1009600
GTN,20141212,8.1679,8.3916,8.1679,8.3916,308670
GTN,20141215,8.2238,8.2238,7.9440,7.9441,706920
GTN,20141216,7.7763,7.7763,7.4406,7.4406,997260
GTN,20141217,6.9371,7.0490,6.9371,6.9371,6452950
GTN,20141218,7.1049,7.3847,7.0490,7.3846,1045410
GTN,20141219,7.5524,7.7203,7.1049,7.1049,1263440
GTN,20141222,6.8811,7.4406,6.8811,7.3287,1947290
GTN,20141223,7.2168,7.3287,7.1049,7.1049,888870
GTN,20141224,7.1608,7.2727,7.0490,7.1608,294720
GTN,20141225,7.0489,7.3846,6.9930,7.1049,2474580
GTN,20141226,7.0490,7.1608,6.8252,6.9371,2147800
GTN,20141229,6.9371,7.1049,6.6014,6.8252,1430520
GTN,20141230,6.8252,7.2168,6.3776,7.1049,1904800
GTN,20141231,6.9930,7.3846,6.9930,7.1608,923720
GTN,20150105,7.1608,7.6084,7.1608,7.6084,1678030
GTN,20150106,7.4965,8.1119,7.4965,8.1119,1886220
GTN,20150107,8.0560,8.2797,7.8881,7.8881,1378520
GTN,20150108,7.8322,8.1678,7.7762,8.0000,2595370
GTN,20150109,8.0000,8.4476,7.8322,8.2797,1632380
GTN,20150112,8.1678,8.2797,8.0000,8.0000,1544050
GTN,20150113,7.8322,8.2797,7.8322,8.0559,1860190
GTN,20150114,8.0000,8.3916,7.7762,8.3916,1976030
GTN,20150115,8.2797,8.8951,8.2797,8.8392,2097740
GTN,20150116,8.7273,8.8951,8.6154,8.6154,1478140
GTN,20150119,8.5035,8.6154,8.4476,8.5594,1586160
GTN,20150120,8.3916,8.6153,8.3356,8.5594,884440
GTN,20150121,8.4475,8.6713,8.3916,8.5035,710000
GTN,20150122,8.3916,8.5035,8.1678,8.2238,1218910
GTN,20150123,8.3357,8.7273,8.3357,8.5035,1855200
GTN,20150126,8.5035,8.7273,8.3916,8.5035,928980
GTN,20150127,8.4476,8.5594,8.1119,8.3916,1358840
GTN,20150128,8.2238,8.5035,8.1119,8.5035,1078030
GTN,20150129,8.4476,9.0070,8.4476,9.0070,3279410
GTN,20150130,8.8392,8.9511,8.7273,8.8951,2742760
GTN,20150202,8.7273,8.8392,8.5035,8.6154,669390
GTN,20150203,8.5035,8.5595,8.2238,8.2238,1503790
GTN,20150204,8.1119,8.2238,8.0000,8.2238,751100
GTN,20150205,8.2238,8.3357,8.1119,8.2797,491970
GTN,20150206,8.1678,8.2797,8.1119,8.2238,367790
GTN,20150209,8.1679,8.1679,7.7203,7.8881,608990
GTN,20150210,7.7762,8.2797,7.7203,8.2238,752890
GTN,20150211,8.1119,8.3916,8.1119,8.3916,1011100
GTN,20150212,8.2238,8.3916,8.2238,8.3916,577910
GTN,20150213,8.2238,8.6154,8.2238,8.6154,491480
GTN,20150224,8.6154,9.0630,8.5035,9.0629,781880
GTN,20150225,8.8391,9.0070,8.6713,8.6713,1061710
GTN,20150226,8.5594,8.7273,8.5035,8.7273,575980
GTN,20150227,8.6154,8.6714,8.5035,8.6154,999780
GTN,20150302,8.5035,8.8392,8.5035,8.6713,1881530
GTN,20150303,8.5594,9.2308,8.5594,9.2308,3538320
GTN,20150304,9.1189,9.5665,9.0070,9.5664,2480310
GTN,20150305,9.3986,9.4545,9.2307,9.3427,1522390
GTN,20150306,9.1749,9.2868,9.1189,9.2308,1061450
GTN,20150309,9.1189,9.2308,8.9511,9.2308,957940
GTN,20150310,9.2308,9.7343,9.0630,9.6783,2477640
GTN,20150311,9.5664,9.5664,9.3986,9.4545,1095700
GTN,20150312,9.2867,9.6224,9.2307,9.6224,1290230
GTN,20150313,9.4546,9.5665,9.3427,9.5664,1076690
GTN,20150316,9.3986,9.3986,8.9510,8.9510,2451790
GTN,20150317,8.4475,8.7832,8.4475,8.6154,2385150
GTN,20150318,8.6154,8.8951,8.5595,8.7273,1850700
GTN,20150319,8.7273,8.8392,8.6714,8.7273,1050060
