<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
RAL,20210305,213.6499,213.6499,207.9130,211.1771,23500,216.0000,216.0000,210.2000,213.5000,0,2100,500
RAL,20210304,212.4629,221.5628,206.0336,213.6499,31100,214.8000,224.0000,208.3000,216.0000,0,1000,100
RAL,20210303,211.9684,212.6608,206.7261,209.2977,41800,214.3000,215.0000,209.0000,211.6000,0,600,300
RAL,20210302,224.5301,224.5301,210.6824,212.8586,67600,227.0000,227.0000,213.0000,215.2000,0,7200,1500
RAL,20210301,202.7696,211.9684,202.7696,211.9683,54400,205.0000,214.3000,205.0000,214.3000,0,700,400
RAL,20210226,187.9327,198.1207,187.9327,198.1207,149400,190.0000,200.3000,190.0000,200.3000,0,1600,300
RAL,20210225,175.0741,185.1632,175.0741,185.1632,61000,177.0000,187.2000,177.0000,187.2000,0,200,700
RAL,20210224,172.7992,175.9644,170.1286,173.0959,38300,174.7000,177.9000,172.0000,175.0000,0,1800,800
RAL,20210223,173.0960,176.0633,171.1177,176.0633,17200,175.0000,178.0000,173.0000,178.0000,0,600,200
RAL,20210222,172.6014,178.0416,172.1068,172.6014,20500,174.5000,180.0000,174.0000,174.5000,0,400,600
RAL,20210219,173.0959,178.0415,172.6013,172.6014,22500,175.0000,180.0000,174.5000,174.5000,0,1100,110
RAL,20210218,165.0841,176.5579,166.1721,173.0959,57800,166.9000,178.5000,168.0000,175.0000,0,1200,500
RAL,20210217,154.3027,165.0841,156.4788,165.0841,25500,156.0000,166.9000,158.2000,166.9000,0,1200,500
RAL,20210209,154.3027,156.2809,150.4451,154.3027,18600,156.0000,158.0000,152.1000,156.0000,0,40,0
RAL,20210208,155.5885,155.7863,150.3462,151.3353,17100,157.3000,157.5000,152.0000,153.0000,0,400,0
RAL,20210205,154.4015,159.2482,154.4015,155.5885,21400,156.1000,161.0000,156.1000,157.3000,0,0,0
RAL,20210204,160.2374,160.2374,154.3027,158.2591,13300,162.0000,162.0000,156.0000,160.0000,0,2500,0
RAL,20210203,156.2809,161.2265,156.2809,160.2374,24000,158.0000,163.0000,158.0000,162.0000,0,0,0
RAL,20210202,144.5104,155.2918,143.8180,155.2918,23400,146.1000,157.0000,145.4000,157.0000,0,0,800
RAL,20210201,156.2809,158.0613,147.3788,147.3788,19400,158.0000,159.8000,149.0000,149.0000,0,700,0
RAL,20210129,149.3570,163.2047,149.3570,156.2809,40600,151.0000,165.0000,151.0000,158.0000,0,400,0
RAL,20210128,158.7537,163.2048,158.2592,158.2591,38800,160.5000,165.0000,160.0000,160.0000,0,0,0
RAL,20210127,171.7112,176.0633,164.5895,170.1286,25100,173.6000,178.0000,166.4000,172.0000,0,100,0
RAL,20210126,179.0307,179.8220,168.2493,176.9535,42700,181.0000,181.8000,170.1000,178.9000,0,0,0
RAL,20210125,163.2047,168.2492,163.2047,168.2493,96100,165.0000,170.1000,165.0000,170.1000,0,0,0
RAL,20210122,156.2810,157.2701,154.3027,157.2700,18300,158.0000,159.0000,156.0000,159.0000,0,0,0
RAL,20210121,155.7863,158.2591,148.3679,155.7864,59000,157.5000,160.0000,150.0000,157.5000,0,0,0
RAL,20210120,144.4115,149.3571,138.4768,148.8625,19000,146.0000,151.0000,140.0000,150.5000,0,0,0
RAL,20210119,151.6320,151.6320,141.0484,144.4115,40000,153.3000,153.3000,142.6000,146.0000,0,0,0
RAL,20210118,148.3680,157.8635,148.3680,151.6320,26200,150.0000,159.6000,150.0000,153.3000,0,0,100
RAL,20210115,149.3571,149.3571,147.3789,147.6756,31400,151.0000,151.0000,149.0000,149.3000,0,0,0
RAL,20210114,150.3462,150.3462,146.9832,147.6756,19700,152.0000,152.0000,148.6000,149.3000,0,0,0
RAL,20210113,156.2809,156.2809,150.3462,150.3462,17700,158.0000,158.0000,152.0000,152.0000,0,0,0
RAL,20210112,154.3027,154.3027,150.9397,151.4342,17200,156.0000,156.0000,152.6000,153.1000,0,0,0
RAL,20210111,148.4669,155.2918,150.3462,154.3027,14900,150.1000,157.0000,152.0000,156.0000,0,0,0
RAL,20210108,156.0831,156.0831,148.4668,148.4669,8400,157.8000,157.8000,150.1000,150.1000,0,0,0
RAL,20210107,146.1919,152.5223,146.1919,152.3244,51100,147.8000,154.2000,147.8000,154.0000,0,0,14200
RAL,20210106,144.9060,145.4006,142.6310,142.6311,18200,146.5000,147.0000,144.2000,144.2000,0,3000,3100
RAL,20210105,137.9822,145.4006,137.9822,144.9060,26400,139.5000,147.0000,139.5000,146.5000,0,0,22500
